
"2520","CSE-107","-56","1429340361221","cse0001"
"2519","CSE-304","-80","1429340345663","cse0001"
"2518","CSE-204","-81","1429340345658","cse0001"
"2517","CSE-G04","-73","1429340345653","cse0001"
"2516","CSE-G07","-85","1429340345649","cse0001"
"2515","CSE-404","-80","1429340345640","cse0001"
"2514","CSE-104","-67","1429340345635","cse0001"
"2513","CSE-205","-65","1429340345627","cse0001"
"2512","CSE-G09","-76","1429340345619","cse0001"
"2511","CSE-107","-53","1429340345608","cse0001"
"2510","CSE-G09","-64","1429338793828","cse107"
"2509","CSE-G04","-67","1429338793825","cse107"
"2508","CSE-104","-61","1429338793817","cse107"
"2507","CSE-107","-57","1429338793808","cse107"
"2506","CSE-205","-67","1429338778607","cse107"
"2505","CSE-G09","-64","1429338778600","cse107"
"2504","CSE-G04","-67","1429338778595","cse107"
"2503","CSE-104","-62","1429338778591","cse107"
"2502","CSE-107","-53","1429338778583","cse107"
"2501","CSE-G09","-64","1429338763143","cse107"
"2500","CSE-G04","-66","1429338763139","cse107"
"2499","CSE-G07","-64","1429338763135","cse107"
"2498","CSE-104","-64","1429338763131","cse107"
"2497","CSE-107","-58","1429338763122","cse107"
"2496","CSE-G07","-63","1429338747735","cse107"
"2495","CSE-205","-64","1429338747732","cse107"
"2494","CSE-104","-66","1429338747725","cse107"
"2493","CSE-107","-59","1429338747718","cse107"
"2492","CSE-G04","-66","1429338732387","cse107"
"2491","CSE-205","-64","1429338732384","cse107"
"2490","CSE-104","-66","1429338732379","cse107"
"2489","CSE-107","-53","1429338732374","cse107"
"2488","CSE-G04","-70","1429338717043","cse107"
"2487","CSE-118","-81","1429339163754","cse108"
"2486","CSE-204","-81","1429339163752","cse108"
"2485","CSE-205","-73","1429339163748","cse108"
"2484","CSE-G04","-80","1429339163746","cse108"
"2483","CSE-104","-80","1429339163744","cse108"
"2482","CSE-G07","-60","1429339163741","cse108"
"2481","CSE-G09","-70","1429339163737","cse108"
"2480","CSE-107","-65","1429339163725","cse108"
"2479","CSE-104","-81","1429339042811","cse108"
"2478","CSE-G07","-74","1429339042809","cse108"
"2477","CSE-107","-66","1429339042802","cse108"
"2476","CSE-205","-65","1429338717039","cse107"
"2475","CSE-104","-67","1429338717034","cse107"
"2474","CSE-107","-54","1429338717028","cse107"
"2473","CSE-205","-65","1429338701578","cse107"
"2472","CSE-104","-67","1429338701574","cse107"
"2471","CSE-G09","-62","1429338701566","cse107"
"2470","CSE-107","-57","1429338701554","cse107"
"2469","CSE-205","-65","1429338686266","cse107"
"2468","CSE-104","-65","1429338686262","cse107"
"2467","CSE-G09","-63","1429338686257","cse107"
"2466","CSE-107","-54","1429338686250","cse107"
"2465","CSE-104","-65","1429338670896","cse107"
"2464","CSE-G09","-65","1429338670892","cse107"
"2463","CSE-G07","-62","1429338670885","cse107"
"2462","CSE-107","-59","1429338670876","cse107"
"2461","CSE-G07","-61","1429338655504","cse107"
"2460","CSE-107","-62","1429338655496","cse107"
"2459","CSE-G07","-59","1429338642386","cse107"
"2458","CSE-205","-67","1429338642370","cse107"
"2457","CSE-G09","-66","1429338642361","cse107"
"2456","CSE-107","-60","1429338642344","cse107"
"2455","CSE-205","-66","1429338627105","cse107"
"2454","CSE-G09","-66","1429338627100","cse107"
"2453","CSE-107","-59","1429338627096","cse107"
"2452","CSE-G09","-67","1429338611805","cse107"
"2451","CSE-107","-57","1429338611773","cse107"
"2450","CSE-205","-65","1429338596465","cse107"
"2449","CSE-G09","-66","1429338596461","cse107"
"2448","CSE-107","-58","1429338596439","cse107"
"2447","CSE-205","-67","1429338478574","cse107"
"2446","CSE-G09","-62","1429338478566","cse107"
"2445","CSE-107","-53","1429338478557","cse107"
"2444","CSE-205","-65","1429338463255","cse107"
"2443","CSE-G09","-63","1429338463242","cse107"
"2442","CSE-107","-53","1429338463236","cse107"
"2441","CSE-G09","-62","1429338447802","cse107"
"2440","CSE-107","-53","1429338447796","cse107"
"2439","CSE-G09","-62","1429338432510","cse107"
"2438","CSE-107","-52","1429338432504","cse107"
"2437","CSE-G09","-62","1429338417235","cse107"
"2436","CSE-107","-53","1429338417225","cse107"
"2435","CSE-G09","-62","1429338401877","cse107"
"2434","CSE-107","-54","1429338401873","cse107"
"2433","CSE-G09","-62","1429338386534","cse107"
"2432","CSE-107","-51","1429338386520","cse107"
"2431","CSE-G09","-61","1429338371245","cse107"
"2430","CSE-107","-50","1429338371238","cse107"
"2429","CSE-G09","-61","1429338355962","cse107"
"2428","CSE-107","-50","1429338355955","cse107"
"2427","CSE-G09","-60","1429338346673","cse107"
"2426","CSE-107","-51","1429338346664","cse107"
"2425","CSE-G09","-60","1429338331316","cse107"
"2424","CSE-107","-52","1429338331310","cse107"
"2423","CSE-205","-61","1429338316088","cse107"
"2422","CSE-G09","-60","1429338316074","cse107"
"2421","CSE-107","-52","1429338316068","cse107"
"2420","CSE-205","-63","1429338300775","cse107"
"2419","CSE-G09","-60","1429338300770","cse107"
"2418","CSE-107","-52","1429338300763","cse107"
"2417","CSE-104","-65","1429338300756","cse107"
"2416","CSE-205","-66","1429338285418","cse107"
"2415","CSE-G09","-62","1429338285412","cse107"
"2414","CSE-107","-51","1429338285404","cse107"
"2413","CSE-104","-66","1429338285397","cse107"
"2412","CSE-104","-69","1429338270002","cse107"
"2411","CSE-G04","-78","1429338254851","cse107"
"2410","CSE-104","-68","1429338254846","cse107"
"2409","CSE-G09","-66","1429338254842","cse107"
"2408","CSE-107","-50","1429338254800","cse107"
"2407","CSE-G04","-74","1429338239590","cse107"
"2406","CSE-104","-66","1429338239585","cse107"
"2405","CSE-G09","-65","1429338239578","cse107"
"2404","CSE-107","-49","1429338239548","cse107"
"2403","CSE-G07","-70","1429338095468","cse108"
"2402","CSE-104","-78","1429338095466","cse108"
"2401","CSE-205","-73","1429338095463","cse108"
"2400","CSE-107","-69","1429338095455","cse108"
"2399","CSE-G04","-78","1429337974536","cse108"
"2398","CSE-404","-78","1429337974534","cse108"
"2397","CSE-G07","-62","1429337974532","cse108"
"2396","CSE-104","-78","1429337974529","cse108"
"2395","CSE-G09","-68","1429337974526","cse108"
"2394","CSE-205","-73","1429337974523","cse108"
"2393","CSE-107","-69","1429337974511","cse108"
"2392","CSE-404","-78","1429337850379","cse108"
"2391","CSE-118","-80","1429337850376","cse108"
"2390","CSE-G07","-63","1429337850374","cse108"
"2389","CSE-G04","-81","1429337850372","cse108"
"2388","CSE-104","-73","1429337850370","cse108"
"2387","CSE-G09","-80","1429337850368","cse108"
"2386","CSE-205","-75","1429337850366","cse108"
"2385","CSE-107","-59","1429337850363","cse108"
"2384","CSE-118","-80","1429337729309","cse108"
"2383","CSE-G07","-63","1429337729306","cse108"
"2382","CSE-G04","-81","1429337729304","cse108"
"2381","CSE-104","-73","1429337729301","cse108"
"2380","CSE-G09","-79","1429337729298","cse108"
"2379","CSE-205","-81","1429337729295","cse108"
"2378","CSE-107","-73","1429337729287","cse108"
"2377","CSE-205","-65","1429337436074","cse107"
"2376","CSE-104","-62","1429337436064","cse107"
"2375","CSE-G09","-66","1429337436061","cse107"
"2374","CSE-107","-53","1429337436057","cse107"
"2373","CSE-205","-66","1429337420820","cse107"
"2372","CSE-104","-62","1429337420811","cse107"
"2371","CSE-G09","-65","1429337420806","cse107"
"2370","CSE-107","-54","1429337420802","cse107"
