3478	CSE-B03	-79	1429770532170	cse305
3477	CSE-303	-65	1429770532164	cse305
3476	CSE-304	-56	1429770532154	cse305
3475	CSE-214	-82	1429770516549	cse305
3474	CSE-104	-88	1429770516545	cse305
3473	CSE-503	-79	1429770516541	cse305
3472	CSE-107	-84	1429770516534	cse305
3471	CSE-204	-84	1429770516529	cse305
3470	CSE-205	-61	1429770516523	cse305
3469	CSE-B03	-72	1429770516515	cse305
3468	CSE-303	-72	1429770516512	cse305
3467	CSE-304	-46	1429770516508	cse305
3466	CSE-214	-82	1429770500885	cse305
3465	CSE-104	-91	1429770500881	cse305
3464	CSE-503	-76	1429770500878	cse305
3463	CSE-506	-88	1429770500874	cse305
3462	CSE-107	-82	1429770500870	cse305
3461	CSE-204	-81	1429770500867	cse305
3460	CSE-205	-65	1429770500864	cse305
3459	CSE-B03	-76	1429770500861	cse305
3458	CSE-303	-57	1429770500853	cse305
3457	CSE-304	-64	1429770500849	cse305
3456	CSE-104	-91	1429770488388	cse305
3455	CSE-503	-76	1429770488384	cse305
3454	CSE-506	-88	1429770488378	cse305
3453	CSE-107	-80	1429770488369	cse305
3452	CSE-104	-97	1429770752088	cse307
3451	CSE-506R	-81	1429770752085	cse307
3450	CSE-506	-95	1429770752083	cse307
3449	CSE-214	-86	1429770752080	cse307
3448	CSE-204	-93	1429770752078	cse307
3447	CSE-107	-93	1429770752076	cse307
3446	CSE-503	-90	1429770752074	cse307
3445	CSE-205	-88	1429770752069	cse307
3444	CSE-B03	-86	1429770752067	cse307
3443	CSE-303	-53	1429770752065	cse307
3442	CSE-304	-58	1429770752061	cse307
3441	CSE-214	-94	1429770630941	cse303
3440	CSE-204	-79	1429770630939	cse303
3439	CSE-104	-84	1429770630936	cse303
3438	CSE-107	-89	1429770630934	cse303
3437	CSE-503	-85	1429770630932	cse303
3436	CSE-205	-81	1429770630930	cse303
3435	CSE-B03	-76	1429770630928	cse303
3434	CSE-303	-70	1429770630926	cse303
3433	CSE-304	-52	1429770630914	cse303
3432	CSE-204	-79	1429770570834	cse303
3431	CSE-104	-84	1429770570831	cse303
3430	CSE-107	-89	1429770570829	cse303
3429	CSE-503	-85	1429770570825	cse303
3428	CSE-205	-76	1429770570824	cse303
3427	CSE-B03	-61	1429770570821	cse303
3426	CSE-303	-76	1429770570819	cse303
3425	CSE-304	-56	1429770570817	cse303
3424	CSE-214	-89	1429770510924	cse303
3423	CSE-506	-97	1429770510922	cse303
3422	CSE-204	-66	1429770510920	cse303
3421	CSE-104	-94	1429770510918	cse303
3420	CSE-107	-93	1429770510916	cse303
3419	CSE-503	-93	1429770510914	cse303
3418	CSE-205	-80	1429770510912	cse303
3417	CSE-B03	-57	1429770510910	cse303
3416	CSE-303	-87	1429770510908	cse303
